Programme,Description,Final Budget (Kshs.),Expenditure (Kshs.),"Absorption Rate
(%)",page_number,table_index
,Public Financial Management,"72,241,227","42,183,864",58.4,131,0
705054660,Supply Chain Management Services,"29,615,500","13,150,850",44.4,131,0
705064660,Fiscal and Economic Planning,"7,800,000","6,204,400",79.5,131,0
705074660,Budget,"8,790,000","5,717,030",65.0,131,0
705084660,Accounting,"7,281,000","4,757,129",65.3,131,0
705104660,Internal Audit,"5,898,500","3,030,800",51.4,131,0
705114660,Revenue Collection,"12,856,227","9,323,655",72.5,131,0
706034660,Monitoring and Evaluation Services,"8,119,000","4,119,400",50.7,132,0
,Devolution Services,"26,952,000","14,561,812",54.0,132,0
707014660,Coordination Of Devolution Services,"11,633,000","5,091,050",43.8,132,0
707024660,Intergovernmental Relations,"11,294,000","8,127,200",72.0,132,0
707034660,County Government Advisory Service,"4,025,000","1,343,562",33.4,132,0
,"Public Service, Administration and Citizen Par-
ticipation","12,125,000","8,254,050",68.1,132,0
708034660,County administration,"12,125,000","8,254,050",68.1,132,0
708054660,Citizen participation,-,-,-,132,0
,"ICT, Special Programmes and Service Delivery","19,803,001","14,125,351",71.3,132,0
710014660,"Information, Communication and Technology","14,713,201","11,306,806",76.8,132,0
710024660,Special Programmes,"5,089,800","2,818,545",55.4,132,0
,,"3,632,928","3,070,700",84.5,132,0
901024660,Cultural Activities,"2,437,928","2,217,900",91.0,132,0
901034660,County Parks,"345,000","194,400",56.3,132,0
901044660,County Museums,"850,000","658,400",77.5,132,0
,,"162,383,088","117,735,122",72.5,132,0
,Kajiado Municipality,"29,592,348","19,796,652",66.9,132,0
,Ngong Municipality,"43,852,408","29,840,058",68.0,132,0
,Office of the County Attorney,"88,938,332","68,098,412",76.6,132,0
,,"56,398,641","50,146,177",88.9,132,0
902014660,Gender,"56,398,641","50,146,177",88.9,132,0
,,"11,964,605","7,091,817",59.3,132,0
903024660,Sports Training and Competitions,"9,345,685","5,361,192",57.4,132,0
903034660,Gender Mainstreaming,"2,618,920","1,730,624",66.1,132,0
,"General Administration, Planning and Support
Services","63,440,122","57,095,592",90.0,132,0
1001024660,Storm Water Management Services,"5,779,818","1,589,625",27.5,132,0
1001034660,"General Administration, Policy and Coordina-
tion","57,660,304","55,505,967",96.3,132,0
1003014660,Water,"20,044,885","15,811,226",78.9,132,0
,Sub Total,"3,154,034,516","2,687,134,018",85.2,132,0
COUNTY EXECUTIVE DEVELOPMENT PROGRAMMES,,,,,132,0
,"General Administration, Planning and Support
Services","224,490,030",-,-,132,0
101024660,General Administration and Support Services,"224,490,030",-,-,132,0
,Land Policy and Planning,"750,000",-,-,132,0
106034660,Physical Planning,"750,000",-,-,132,0
,"Animal Husbandry Livestock Resource Man-
agement and Development","39,000,000",-,-,132,0
107014660,Animal Husbandry,"39,000,000",-,-,132,0
,Agricultural Development,"15,000,000",-,-,132,0
108014660,Crop Husbandry,"7,500,000",-,-,132,0
108064660,Irrigation,"7,500,000",-,-,132,0
,Environment Management,"35,000,000",-,-,132,0
109014660,Environmental Protection,"35,000,000",-,-,132,0
110014660,Urban Development,"25,000,000",-,-,132,0
