Programme,col_1,"Approved Budget
(Kshs)","Actual Pay-
ments (Kshs)",Variance (Kshs.),"Absorption
Rate (%)",page_number,table_index
090100,"Policy planning, general admin-
istration & S. S.","4, 810, 000","50, 000","1, 760, 000",1.8,478,0
Subtotal,,"14, 310, 000","198, 000","13, 112, 000",,478,0
090200,"Promotion and management of
sports","27, 370, 000","187, 000","26, 064, 774",0.7,478,0
Subtotal,,"27, 370, 000","187, 000","26, 064, 774",,478,0
Department of County Public Service Board,,,,,,478,0
070100,"General administration and
support services","1, 816, 600","838, 600","978, 000",46.2,478,0
100100,"Policy planning, general admin-
istration and support services","56, 356, 260","30, 291, 486","26, 064, 774",53.7,478,0
Subtotal,,"58, 172, 860","31, 130, 086","27, 042, 774",,478,0
Department of Public Service Management,,,,,,478,0
010100,"Policy planning, general admin-
istration and support services","224, 128, 088","126, 191, 439","97, 936, 649",56.3,478,0
070100,"General administration and
support services","2, 075, 000","90, 000","1, 985, 000",4.3,478,0
070200,"Budget formulation and man-
agement","500, 000","169, 800","330, 200",34.0,478,0
071000,"Coordination, strategy and HR
Services","88, 398, 000","2, 075, 600","86, 322, 400",2.3,478,0
,Subtotal,"315, 101, 088","128, 526, 839","186, 574, 249",,478,0
Department of Nyamira Municipality,,,,,,478,0
010100,"Policy planning, general admin-
istration and support services","65, 225, 362","15, 301, 278","49, 924, 084",23.5,478,0
020200,"Roads development and manage-
ment","120, 305, 915","597, 275","119, 708, 640",0.5,478,0
Sub total,,"185, 531, 277","15, 898, 553","169, 632, 724",,478,0
County Attorney,,,,,,478,0
070100,"General administration and sup-
port services","8, 149, 000","1, 349, 600","6, 799, 400",16.6,478,0
Sub,,"8, 149, 000","1, 349, 600","6, 799, 400",,478,0
"Economic planning, Resource mobilization and ICT",,,,,,478,0
070100,"General administration and sup-
port services","171, 604, 393","74, 594, 544","97, 009, 849",43.5,478,0
070200,"Budget formulation and manage-
ment","28, 349, 000","12, 123, 335","16, 225, 665",43.5,478,0
Sub total,,"199, 953, 393","86, 717, 879","154, 402, 701",,478,0
070200,"Budget formulation and man-
agement","16, 390, 106","79, 800","16, 310, 216",0.5,478,0
Sub total,,"16, 390, 106","79, 800","16, 310, 216",,478,0
