Program,Sub Program,Description,"Approved Bud-
get (Kshs.)","Actual Payments
(Kshs.)",Variance (Kshs.),"Absorption
(%)",page_number,table_index
,501014660,Headquarters Administrative Services,"386,273,357","192,707,064","193,566,293",49.9,116,0
502004660,,Children and Youth Empowerment,-,-,-,-,116,0
,502014660,Early Child Development and Education,-,-,-,-,116,0
,502024660,Revitalization of Youth Polytechnics,-,-,-,-,116,0
503004660,,"Social Protection, Culture and Recre-
ation","800,000","445,200","354,800",55.7,117,0
,503014660,Home craft Centers Development,"800,000","445,200","354,800",55.7,117,0
,503024660,Control of Drugs and Pornography,-,-,-,-,117,0
,503034660,Betting and Casinos,-,-,-,-,117,0
,503044660,Museum Development,-,-,-,-,117,0
,503054660,Sports Training and Competitions,-,-,-,-,117,0
,503064660,County Parks Management,-,-,-,-,117,0
504004660,,Education Support,"342,790,894","57,429,935","285,360,959",16.8,117,0
,504014660,Pre-Primary Education,"307,686,000","55,775,720","251,910,280",18.1,117,0
,504024660,Home Craft Centers,"35,104,894","1,654,215","33,450,679",4.7,117,0
,504034660,Village Polytechnics,-,-,-,-,117,0
505004660,,Social Protection and Recreation,"4,450,000","2,333,949","2,116,051",52.4,117,0
,505014660,Control of Drugs and Pornography,"1,600,000","378,650","1,221,350",23.7,117,0
,505024660,Liquor Licensing,"2,550,000","1,208,299","1,341,701",47.4,117,0
,505034660,Betting and Casinos,"300,000","747,000","-447,000",249.0,117,0
,505044660,Sports Training and Competitions,-,-,-,-,117,0
701004660,,"General Administration and Policy Co-
ordination","3,258,128,817","1,295,749,498","1,962,379,319",39.8,117,0
,701014660,Headquarters Administrative Services,"3,240,060,139","1,285,778,823","1,954,281,316",39.7,117,0
,701054660,County Executive Committee,"9,803,232","3,168,625","6,634,607",32.3,117,0
,701064660,ICT,-,-,-,-,117,0
,701074660,County Inspectorate,"8,265,446","6,802,050","1,463,396",82.3,117,0
702004660,,Executive Committee Affairs,-,-,-,-,117,0
,702014660,"General Administrative and Executive
Affairs",-,-,-,-,117,0
703004660,,"Public Services Coordination and
Management","98,150,000","3,021,831","95,128,169",3.1,117,0
,703014660,Human Resource Management,"98,150,000","3,021,831","95,128,169",3.1,117,0
705004660,,Public Financial Management,"158,276,434","48,023,250","110,253,184",30.3,117,0
,705024660,"Budget Formulation Coordination and
Management",-,-,-,-,117,0
,705034660,Audit Services,-,-,-,-,117,0
,705044660,Accounting services,-,-,-,-,117,0
,705054660,Supply Chain Management Services,"50,561,000","14,886,619","35,674,381",29.4,117,0
,705064660,Fiscal and Economic Planning,"10,750,000","5,484,599","5,265,401",51.0,117,0
,705074660,Budget,"16,053,000","6,921,266","9,131,734",43.1,117,0
,705084660,Accounting,"12,827,000","6,538,803","6,288,197",51.0,117,0
,705094660,Procurement,-,-,-,-,117,0
,705104660,Internal Audit,"7,747,000","3,453,200","4,293,800",44.6,117,0
,705114660,Revenue Collection,"60,338,434","10,738,763","49,599,671",17.8,117,0
706004660,,"Economic Policy Coordination and Su-
pervision","15,138,000","4,865,699","10,272,301",32.1,117,0
,706014660,"Economic Planning Coordination Ser-
vices",-,-,-,-,117,0
,706024660,Statistical Information Services,-,-,-,-,117,0
,706034660,Monitoring and Evaluation Services,"15,138,000","4,865,699","10,272,301",32.1,117,0
707004660,,Devolution Services,"36,784,000","11,639,202","25,144,798",31.6,117,0
,707014660,Coordination Of Devolution Services,"18,266,000","5,215,046","13,050,954",28.6,117,0
,707024660,Intergovernmental Relations,"9,988,000","2,929,202","7,058,798",29.3,117,0
,707034660,County Government Advisory Service,"8,530,000","3,494,954","5,035,046",41.0,117,0
708004660,,"Public Service, Administration and
Citizen Participation","45,704,130","28,595,960","17,108,170",62.6,117,0
,708014660,County Administration Services,-,-,-,-,117,0
,708024660,"Public Service, administration and citi-
zen participation",-,-,-,-,117,0
,708034660,County administration,"29,050,000","19,084,360","9,965,640",65.7,117,0
,708044660,county executive committee,-,-,-,-,117,0
,708054660,Citizen participation,"16,654,130","9,511,600","7,142,530",57.1,117,0
709004660,,Citizen Participation,-,-,-,-,117,0
,709014660,Citizen Participation,-,-,-,-,117,0
710004660,,"ICT, Special Programmes and Service
Delivery","36,468,934","11,726,541","24,742,393",32.2,117,0
,710014660,"Information, Communication and Tech-
nology","25,355,334","8,417,672","16,937,662",33.2,117,0
